Location,species,Year,JulianDay
,Ceiba pubiflora,2023,166
,Ceiba pubiflora,2023,166
,Ceiba pubiflora,2023,131
,Ceiba pubiflora,2023,118
,Ceiba pubiflora,2023,166
,Ceiba pubiflora,2022,187
,Ceiba pubiflora,2021,179
,Ceiba pubiflora,2021,179
,Ceiba pubiflora,2020,149
,Ceiba pubiflora,2019,130
,Ceiba pubiflora,2019,129
,Ceiba pubiflora,2019,130
,Ceiba pubiflora,2019,129
,Ceiba pubiflora,2019,130
,Ceiba pubiflora,2019,129
,Ceiba pubiflora,2019,106
,Ceiba pubiflora,2018,137
,Ceiba pubiflora,2018,137
,Ceiba pubiflora,2018,100
,Ceiba pubiflora,2017,172
,Ceiba pubiflora,2017,193
,Ceiba pubiflora,2017,174
,Ceiba pubiflora,2017,174
,Ceiba pubiflora,2017,191
,Ceiba pubiflora,2017,191
,Ceiba pubiflora,2017,191
,Ceiba pubiflora,2017,194
,Ceiba pubiflora,2017,191
,Ceiba pubiflora,2017,171
,Ceiba pubiflora,2017,194
,Ceiba pubiflora,2017,171
,Ceiba pubiflora,2017,194
,Ceiba pubiflora,2017,171
,Ceiba pubiflora,2017,193
,Ceiba pubiflora,2017,194
,Ceiba pubiflora,2017,193
,Ceiba pubiflora,2017,173
,Ceiba pubiflora,2017,194
,Ceiba pubiflora,2017,170
,Ceiba pubiflora,2017,171
,Ceiba pubiflora,2017,124
,Ceiba pubiflora,2017,194
,Ceiba pubiflora,2017,194
,Ceiba pubiflora,2017,194
,Ceiba pubiflora,2017,194
,Ceiba pubiflora,2017,193
,Ceiba pubiflora,2017,173
,Ceiba pubiflora,2017,171
,Ceiba pubiflora,2017,191
,Ceiba pubiflora,2017,194
,Ceiba pubiflora,2017,172
,Ceiba pubiflora,2017,191
,Ceiba pubiflora,2017,191
,Ceiba pubiflora,2017,191
,Ceiba pubiflora,2017,171
,Ceiba pubiflora,2017,174
,Ceiba pubiflora,2017,193
,Ceiba pubiflora,2017,171
,Ceiba pubiflora,2017,193
,Ceiba pubiflora,2017,174
,Ceiba pubiflora,2017,171
,Ceiba pubiflora,2017,170
,Ceiba pubiflora,2016,113
,Ceiba pubiflora,2016,113
,Ceiba pubiflora,2016,110
,Ceiba pubiflora,2016,103
,Ceiba pubiflora,2016,106
,Ceiba pubiflora,2016,110
,Ceiba pubiflora,2016,106
,Ceiba pubiflora,2016,103
,Ceiba pubiflora,2016,113
,Ceiba pubiflora,2016,113
,Ceiba pubiflora,2016,121
,Ceiba pubiflora,2015,117
,Ceiba pubiflora,2015,115
,Ceiba pubiflora,2015,156
,Ceiba pubiflora,2015,134
,Ceiba pubiflora,2015,167
,Ceiba pubiflora,2014,115
,Ceiba pubiflora,2014,115
,Ceiba pubiflora,2014,115
,Ceiba pubiflora,2014,115
,Ceiba pubiflora,2013,181
,Ceiba pubiflora,2013,181
,Ceiba pubiflora,2012,164
,Ceiba pubiflora,2012,137
,Ceiba pubiflora,2012,133
,Ceiba pubiflora,2012,133
,Ceiba pubiflora,2012,136
,Ceiba pubiflora,2012,149
,Ceiba pubiflora,2012,137
,Ceiba pubiflora,2012,164
,Ceiba pubiflora,2012,144
,Ceiba pubiflora,2012,136
,Ceiba pubiflora,2012,149
,Ceiba pubiflora,2012,136
,Ceiba pubiflora,2012,133
,Ceiba pubiflora,2012,149
,Ceiba pubiflora,2011,110
,Ceiba pubiflora,2011,107
,Ceiba pubiflora,2011,140
,Ceiba pubiflora,2011,110
,Ceiba pubiflora,2011,107
,Ceiba pubiflora,2011,107
,Ceiba pubiflora,2011,169
,Ceiba pubiflora,2011,108
,Ceiba pubiflora,2011,169
,Ceiba pubiflora,2011,110
,Ceiba pubiflora,2011,108
,Ceiba pubiflora,2011,110
,Ceiba pubiflora,2011,107
,Ceiba pubiflora,2011,107
,Ceiba pubiflora,2011,107
,Ceiba pubiflora,2011,140
,Ceiba pubiflora,2010,161
,Ceiba pubiflora,2010,204
,Ceiba pubiflora,2010,141
,Ceiba pubiflora,2010,161
,Ceiba pubiflora,2010,161
,Ceiba pubiflora,2010,141
,Ceiba pubiflora,2010,204
,Ceiba pubiflora,2010,173
,Ceiba pubiflora,2009,94
,Ceiba pubiflora,2009,134
,Ceiba pubiflora,2008,110
,Ceiba pubiflora,2008,118
,Ceiba pubiflora,2008,121
,Ceiba pubiflora,2008,110
,Ceiba pubiflora,2008,118
,Ceiba pubiflora,2007,149
,Ceiba pubiflora,2007,178
,Ceiba pubiflora,2007,100
,Ceiba pubiflora,2007,178
,Ceiba pubiflora,2007,124
,Ceiba pubiflora,2007,178
,Ceiba pubiflora,2007,118
,Ceiba pubiflora,2007,143
,Ceiba pubiflora,2007,134
,Ceiba pubiflora,2007,131
,Ceiba pubiflora,2007,133
,Ceiba pubiflora,2007,143
,Ceiba pubiflora,2007,149
,Ceiba pubiflora,2007,178
,Ceiba pubiflora,2007,178
,Ceiba pubiflora,2007,178
,Ceiba pubiflora,2007,118
,Ceiba pubiflora,2007,124
,Ceiba pubiflora,2007,100
,Ceiba pubiflora,2007,134
,Ceiba pubiflora,2007,131
,Ceiba pubiflora,2007,103
,Ceiba pubiflora,2007,199
,Ceiba pubiflora,2007,149
,Ceiba pubiflora,2006,109
,Ceiba pubiflora,2006,109
,Ceiba pubiflora,2005,100
,Ceiba pubiflora,2005,100
,Ceiba pubiflora,2005,109
,Ceiba pubiflora,2005,109
,Ceiba pubiflora,2005,108
,Ceiba pubiflora,2005,107
,Ceiba pubiflora,2005,107
,Ceiba pubiflora,2005,110
,Ceiba pubiflora,2005,108
,Ceiba pubiflora,2005,109
,Ceiba pubiflora,2005,108
,Ceiba pubiflora,2005,100
,Ceiba pubiflora,2004,114
,Ceiba pubiflora,2004,197
,Ceiba pubiflora,2004,197
,Ceiba pubiflora,2004,197
,Ceiba pubiflora,2004,197
,Ceiba pubiflora,2004,197
,Ceiba pubiflora,2003,130
,Ceiba pubiflora,2003,123
,Ceiba pubiflora,2003,130
,Ceiba pubiflora,2003,123
,Ceiba pubiflora,2003,123
,Ceiba pubiflora,2003,130
,Ceiba pubiflora,2003,130
,Ceiba pubiflora,2003,105
,Ceiba pubiflora,2003,98
,Ceiba pubiflora,2003,130
,Ceiba pubiflora,2003,130
,Ceiba pubiflora,2003,130
,Ceiba pubiflora,2003,123
,Ceiba pubiflora,2003,123
,Ceiba pubiflora,2002,123
,Ceiba pubiflora,2002,127
,Ceiba pubiflora,2002,123
,Ceiba pubiflora,2002,123
,Ceiba pubiflora,2002,137
,Ceiba pubiflora,2002,127
,Ceiba pubiflora,2002,145
,Ceiba pubiflora,2002,124
,Ceiba pubiflora,2002,124
,Ceiba pubiflora,2002,137
,Ceiba pubiflora,2002,106
,Ceiba pubiflora,2002,145
,Ceiba pubiflora,2002,124
,Ceiba pubiflora,2002,145
,Ceiba pubiflora,2002,145
,Ceiba pubiflora,2002,110
,Ceiba pubiflora,2002,145
,Ceiba pubiflora,2002,133
,Ceiba pubiflora,2002,123
,Ceiba pubiflora,2002,124
,Ceiba pubiflora,2002,124
,Ceiba pubiflora,2002,124
,Ceiba pubiflora,2002,124
,Ceiba pubiflora,2002,123
,Ceiba pubiflora,2002,145
,Ceiba pubiflora,2002,106
,Ceiba pubiflora,2002,124
,Ceiba pubiflora,2002,137
,Ceiba pubiflora,2002,145
,Ceiba pubiflora,2002,137
,Ceiba pubiflora,2002,123
,Ceiba pubiflora,2002,127
,Ceiba pubiflora,2002,127
,Ceiba pubiflora,2002,124
,Ceiba pubiflora,2002,110
,Ceiba pubiflora,2002,137
,Ceiba pubiflora,2002,145
,Ceiba pubiflora,2001,171
,Ceiba pubiflora,2001,137
,Ceiba pubiflora,2001,110
,Ceiba pubiflora,2001,133
,Ceiba pubiflora,2001,157
,Ceiba pubiflora,2001,168
,Ceiba pubiflora,2001,184
,Ceiba pubiflora,2001,137
,Ceiba pubiflora,2001,110
,Ceiba pubiflora,2001,137
,Ceiba pubiflora,2001,137
,Ceiba pubiflora,2001,110
,Ceiba pubiflora,2000,142
,Ceiba pubiflora,2000,166
,Ceiba pubiflora,2000,153
,Ceiba pubiflora,2000,142
,Ceiba pubiflora,2000,142
,Ceiba pubiflora,2000,142
,Ceiba pubiflora,2000,153
,Ceiba pubiflora,2000,166
,Ceiba pubiflora,2000,149
,Ceiba pubiflora,2000,142
,Ceiba pubiflora,2000,136
,Ceiba pubiflora,1999,117
,Ceiba pubiflora,1999,115
,Ceiba pubiflora,1999,115
,Ceiba pubiflora,1999,117
,Ceiba pubiflora,1999,115
,Ceiba pubiflora,1998,125
,Ceiba pubiflora,1998,113
,Ceiba pubiflora,1998,155
,Ceiba pubiflora,1998,108
,Ceiba pubiflora,1998,113
,Ceiba pubiflora,1998,138
,Ceiba pubiflora,1998,161
,Ceiba pubiflora,1998,132
,Ceiba pubiflora,1998,200
,Ceiba pubiflora,1998,155
,Ceiba pubiflora,1998,121
,Ceiba pubiflora,1998,132
,Ceiba pubiflora,1998,138
,Ceiba pubiflora,1998,149
,Ceiba pubiflora,1998,113
,Ceiba pubiflora,1998,125
,Ceiba pubiflora,1998,113
,Ceiba pubiflora,1998,108
,Ceiba pubiflora,1998,113
,Ceiba pubiflora,1998,113
,Ceiba pubiflora,1998,108
,Ceiba pubiflora,1998,113
,Ceiba pubiflora,1996,123
,Ceiba pubiflora,1996,119
,Ceiba pubiflora,1996,141
,Ceiba pubiflora,1996,163
,Ceiba pubiflora,1996,95
,Ceiba pubiflora,1996,138
,Ceiba pubiflora,1996,123
,Ceiba pubiflora,1996,98
,Ceiba pubiflora,1996,98
,Ceiba pubiflora,1996,163
,Ceiba pubiflora,1996,123
,Ceiba pubiflora,1996,95
,Ceiba pubiflora,1996,138
,Ceiba pubiflora,1996,141
,Ceiba pubiflora,1996,119
,Ceiba pubiflora,1996,123
,Ceiba pubiflora,1996,179
,Ceiba pubiflora,1995,158
,Ceiba pubiflora,1995,158
,Ceiba pubiflora,1995,137
,Ceiba pubiflora,1995,126
,Ceiba pubiflora,1995,111
,Ceiba pubiflora,1995,137
,Ceiba pubiflora,1995,158
,Ceiba pubiflora,1995,137
,Ceiba pubiflora,1995,126
,Ceiba pubiflora,1995,158
,Ceiba pubiflora,1995,111
,Ceiba pubiflora,1995,137
,Ceiba pubiflora,1995,158
,Ceiba pubiflora,1995,113
,Ceiba pubiflora,1995,113
,Ceiba pubiflora,1995,113
,Ceiba pubiflora,1995,113
,Ceiba pubiflora,1995,113
,Ceiba pubiflora,1995,113
,Ceiba pubiflora,1995,113
,Ceiba pubiflora,1995,113
,Ceiba pubiflora,1995,107
,Ceiba pubiflora,1995,106
,Ceiba pubiflora,1995,126
,Ceiba pubiflora,1994,116
,Ceiba pubiflora,1994,159
,Ceiba pubiflora,1994,101
,Ceiba pubiflora,1994,159
,Ceiba pubiflora,1994,169
,Ceiba pubiflora,1994,169
,Ceiba pubiflora,1994,169
,Ceiba pubiflora,1994,152
,Ceiba pubiflora,1994,169
,Ceiba pubiflora,1994,116
,Ceiba pubiflora,1994,140
,Ceiba pubiflora,1994,159
,Ceiba pubiflora,1994,159
,Ceiba pubiflora,1994,169
,Ceiba pubiflora,1994,169
,Ceiba pubiflora,1994,101
,Ceiba pubiflora,1994,147
,Ceiba pubiflora,1994,152
,Ceiba pubiflora,1994,147
,Ceiba pubiflora,1994,147
,Ceiba pubiflora,1994,125
,Ceiba pubiflora,1994,116
,Ceiba pubiflora,1994,109
,Ceiba pubiflora,1994,140
,Ceiba pubiflora,1994,169
,Ceiba pubiflora,1994,169
,Ceiba pubiflora,1993,104
,Ceiba pubiflora,1993,176
,Ceiba pubiflora,1993,184
,Ceiba pubiflora,1993,104
,Ceiba pubiflora,1993,176
,Ceiba pubiflora,1993,154
,Ceiba pubiflora,1993,154
,Ceiba pubiflora,1993,154
,Ceiba pubiflora,1993,154
,Ceiba pubiflora,1993,154
,Ceiba pubiflora,1993,154
,Ceiba pubiflora,1993,154
,Ceiba pubiflora,1993,114
,Ceiba pubiflora,1992,168
,Ceiba pubiflora,1992,168
,Ceiba pubiflora,1992,168
,Ceiba pubiflora,1991,126
,Ceiba pubiflora,1991,126
,Ceiba pubiflora,1990,160
,Ceiba pubiflora,1990,160
,Ceiba pubiflora,1990,161
,Ceiba pubiflora,1990,190
,Ceiba pubiflora,1990,160
,Ceiba pubiflora,1989,153
,Ceiba pubiflora,1989,158
,Ceiba pubiflora,1989,158
,Ceiba pubiflora,1989,153
,Ceiba pubiflora,1988,154
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1988,149
,Ceiba pubiflora,1988,168
,Ceiba pubiflora,1988,184
,Ceiba pubiflora,1988,154
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1988,154
,Ceiba pubiflora,1988,149
,Ceiba pubiflora,1988,184
,Ceiba pubiflora,1988,168
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1987,143
,Ceiba pubiflora,1987,143
,Ceiba pubiflora,1986,91
,Ceiba pubiflora,1986,105
,Ceiba pubiflora,1986,124
,Ceiba pubiflora,1986,91
,Ceiba pubiflora,1986,134
,Ceiba pubiflora,1986,105
,Ceiba pubiflora,1986,124
,Ceiba pubiflora,1986,134
,Ceiba pubiflora,1986,91
,Ceiba pubiflora,1985,150
,Ceiba pubiflora,1985,136
,Ceiba pubiflora,1985,150
,Ceiba pubiflora,1984,142
,Ceiba pubiflora,1984,119
,Ceiba pubiflora,1984,116
,Ceiba pubiflora,1984,154
,Ceiba pubiflora,1984,142
,Ceiba pubiflora,1984,116
,Ceiba pubiflora,1984,116
,Ceiba pubiflora,1984,142
,Ceiba pubiflora,1984,119
,Ceiba pubiflora,1984,142
,Ceiba pubiflora,1984,154
,Ceiba pubiflora,1984,132
,Ceiba pubiflora,1983,188
,Ceiba pubiflora,1983,139
,Ceiba pubiflora,1983,139
,Ceiba pubiflora,1983,188
,Ceiba pubiflora,1982,137
,Ceiba pubiflora,1982,136
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1980,149
,Ceiba pubiflora,1980,135
,Ceiba pubiflora,1980,149
,Ceiba pubiflora,1980,135
,Ceiba pubiflora,1980,149
,Ceiba pubiflora,1980,135
,Ceiba pubiflora,1980,140
,Ceiba pubiflora,1980,149
,Ceiba pubiflora,1980,135
,Ceiba pubiflora,1980,140
,Ceiba pubiflora,1980,149
,Ceiba pubiflora,1980,135
,Ceiba pubiflora,1979,201
,Ceiba pubiflora,1979,171
,Ceiba pubiflora,1979,194
,Ceiba pubiflora,1979,194
,Ceiba pubiflora,1979,171
,Ceiba pubiflora,1979,188
,Ceiba pubiflora,1979,194
,Ceiba pubiflora,1979,201
,Ceiba pubiflora,1979,201
,Ceiba pubiflora,1979,194
,Ceiba pubiflora,1978,121
,Ceiba pubiflora,1977,148
,Ceiba pubiflora,1976,101
,Ceiba pubiflora,1976,176
,Ceiba pubiflora,1976,101
,Ceiba pubiflora,1976,176
,Ceiba pubiflora,1976,101
,Ceiba pubiflora,1976,101
,Ceiba pubiflora,1976,101
,Ceiba pubiflora,1973,98
,Ceiba pubiflora,1973,98
,Ceiba pubiflora,1973,113
,Ceiba pubiflora,1972,172
,Ceiba pubiflora,1972,172
,Ceiba pubiflora,1968,158
,Ceiba pubiflora,1968,157
,Ceiba pubiflora,1967,153
,Ceiba pubiflora,1967,153
,Ceiba pubiflora,1967,142
,Ceiba pubiflora,1966,102
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,127
,Ceiba pubiflora,1966,127
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,127
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,127
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1964,177
,Ceiba pubiflora,1963,130
,Ceiba pubiflora,1963,130
,Ceiba pubiflora,1963,130
,Ceiba pubiflora,1963,117
,Ceiba pubiflora,1963,112
,Ceiba pubiflora,1963,130
,Ceiba pubiflora,1963,188
,Ceiba pubiflora,1961,122
,Ceiba pubiflora,1956,175
,Ceiba pubiflora,1956,175
,Ceiba pubiflora,1956,175
,Ceiba pubiflora,1956,175
,Ceiba pubiflora,1956,175
,Ceiba pubiflora,1955,118
,Ceiba pubiflora,1947,105
,Ceiba pubiflora,1947,105
,Ceiba pubiflora,1945,138
,Ceiba pubiflora,1939,126
,Ceiba pubiflora,1939,138
,Ceiba pubiflora,1939,126
,Ceiba pubiflora,1939,138
,Ceiba pubiflora,1939,138
,Ceiba pubiflora,1939,138
,Ceiba pubiflora,1939,160
,Ceiba pubiflora,1939,160
,Ceiba pubiflora,1939,138
,Ceiba pubiflora,1934,136
,Ceiba pubiflora,1934,136
,Ceiba pubiflora,1932,176
,Ceiba pubiflora,1932,176
,Ceiba pubiflora,1913,121
,Ceiba pubiflora,1913,121
,Ceiba pubiflora,1902,182
,Ceiba pubiflora,1902,182
,Ceiba pubiflora,1902,182
,Ceiba pubiflora,1885,152
,Ceiba pubiflora,1874,135
,Ceiba pubiflora,1874,135
,Ceiba pubiflora,1874,135
,Ceiba pubiflora,1874,135
